Line,GN_mean
Line681,184.075
Line682,122.175
Line683,142.075
Line684,131.6
Line685,79.64166667
Line686,173.9916667
Line687,107.2416667
Line688,133.0583334
Line689,114.45
Line690,127.1833334
Line691,109.6583333
Line692,113.4666667
Line693,139.05
Line694,98.54999999
Line695,104.1083333
Line696,132.9083334
Line697,93.03333333
Line698,106.825
Line699,79.80833333
Line700,77.29166667
Line701,124.95
Line702,169.1833334
Line703,79.14166667
Line704,114.6
Line705,161.4333333
Line706,148.9166667
Line707,122.525
Line708,125.9916667
Line709,183.5333333
Line710,134.4333333
Line711,193.4666667
Line712,99.74166667
Line713,83.31666667
Line714,117.6666667
Line715,147.35
Line716,148.025
Line717,119.1
Line718,184.75
Line719,171.9333333
Line720,134.4833333
Line721,158.6083333
Line722,120.8416667
Line723,128.6416667
Line724,114.5416667
Line725,94.75
Line726,127.0666667
Line727,147.3916667
Line728,136.5
Line729,137.5833333
Line730,114.875
Line731,91.80833333
Line732,95.7
Line733,141.9416667
Line734,132.7583334
Line735,87.94583333
Line736,95.30833334
Line737,168.675
Line738,120.4333333
Line739,147.3222222
Line740,108.3416667
Line741,112.1416667
Line742,87.8
Line743,99.38333333
Line744,133.7166667
Line745,102.325
Line746,117.9583333
Line747,143.9416667
Line748,89.475
Line749,189.75
Line750,105.3166667
Line751,108.425
Line752,113.25
Line753,140.0666667
Line754,160.7666667
Line755,99.40833333
Line756,136.9083334
Line757,102.7083333
Line758,206.4416667
Line759,87.30833333
Line760,178.0583333
Line761,143.7083334
Line762,74.36666667
Line763,153.1583333
Line764,118
Line765,142.6125
Line766,136.1583334
Line767,102.7166667
Line768,75.39166667
Line769,97.96666668
Line770,143.05
Line771,101.5166667
Line772,97.51666667
Line773,111.9666667
Line774,102.2583333
Line775,175.0916666
Line776,101.075
Line777,148.275
Line778,149.6166667
Line779,105.35
Line780,106.55
Line781,218.975
Line782,149.9
Line783,108.8416667
Line784,164.75
Line785,133.9916667
Line786,107.475
Line787,191.7333333
Line788,183.65
Line789,99.21666667
Line790,170.425
Line791,131.725
Line792,147.625
Line793,72.50833333
Line794,140.6416667
Line795,129.3333333
Line796,135.4444444
Line797,125.0416667
Line798,142.35
Line799,116.8583333
Line800,93.275
Line801,96.8375
Line802,94.25000001
Line803,107.825
Line804,129.675
Line805,117.4083333
Line806,104.125
Line807,143.8583334
Line808,125.05
Line809,105.675
Line810,153.4166667
Line811,57.45833333
Line812,131.1333333
Line813,124.6416667
Line814,146.1583333
Line815,145.0916666
Line816,71.68333333
Line817,104.3583333
Line818,122.5666666
Line819,120.7583333
Line820,151.5166667
Line821,125.9833333
Line822,135.1916667
Line823,117.5
Line824,83.76666667
Line825,114.175
Line826,99.16666667
Line827,116.2916667
Line828,192.2
Line829,131.1583333
Line830,150.05
Line831,134.1
Line832,112.675
Line833,125.2833333
Line834,113.825
Line835,143.6583333
Line836,89.31666668
Line837,126.1916667
Line838,93.66666666
Line839,137.5333333
Line840,144.4
Line841,168.4166667
Line842,124.7
Line843,115.775
Line844,142.5166667
Line845,130.2583333
Line846,147.075
Line847,116.7333333
Line848,131.9333334
Line849,156.45
Line850,102.6416667
Line851,149.1833333
Line852,103.6333333
Line853,98.55000002
Line854,169.9333333
Line855,110.6166667
Line856,138.2916667
Line857,99.64166667
Line858,144.1166667
Line859,160.3333333
Line860,154.8416667
Line861,82.05
Line862,189.8416667
Line863,203.55
Line864,130.0583333
Line865,103.6
Line866,92.54999999
Line867,127.6
Line868,95.89999999
Line869,132.5166667
Line870,124.9083333
Line871,124.465
Line872,127.1083334
Line873,65.29166667
Line874,140.2
Line875,126.0916667
Line876,125.7708333
Line877,146.2416667
Line878,122.8083333
Line879,128.3666667
Line880,125.15
Line881,138.025
Line882,117.7833333
Line883,70.30833334
Line884,73.51666667
Line885,105.2833333
Line886,95.63333334
Line887,146.1833334
Line888,175.0833334
Line889,95.4
Line890,114.0666667
Line891,119.8
Line892,108.2166667
Line893,92.7
Line894,100.2
Line895,128.5333334
Line896,96.1
Line897,123.8333334
Line898,164.4833334
Line899,102.2
Line900,140.4833334
Line901,145.2833334
Line902,83.05
Line903,131.2833334
Line904,176.3
Line905,131.55
Line906,147.7166667
Line907,123.8
Line908,123.6
Line909,97.53333334
Line910,157.65
Line911,176.0833334
Line912,152.1166667
Line913,100.4166667
Line914,120.9333334
Line915,103.6166667
Line916,131.4666667
Line917,171.3333334
Line918,117.6333333
Line919,103.25
Line920,118.8666667
Line921,95.51666667
Line922,139.6
Line923,69.95
Line924,115.4166667
Line925,111.1
Line926,102.65
Line927,111.3
Line928,101.7833333
Line929,124.9666667
Line930,83.58333333
Line931,114.0166667
Line932,153.7
